NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,
[-],[s],[pA],[s],[pA],[s],[pA],[s],[pA],[fC],
252,63.95190,43.54,63.95700,-21.41,63.97290,6.88,0.12810,64.95,782.97,
253,64.08060,29.27,64.08510,-25.00,64.09350,26.56,0.35940,54.27,381.13,
254,64.43850,30.00,64.44450,-32.81,64.45650,32.03,0.39510,62.81,455.20,
255,64.83600,27.50,64.83960,-40.63,64.84950,26.56,0.02520,68.13,386.95,
256,64.86090,28.44,64.86480,-54.84,64.87200,26.72,0.28380,83.28,395.63,
257,65.13780,34.06,65.14860,-40.63,65.15610,28.13,0.03660,74.69,600.61,
258,65.17500,27.24,65.18520,-36.09,65.19630,25.00,0.16530,63.33,580.13,
259,65.34090,32.81,65.35050,-32.50,65.36670,25.47,0.04560,65.31,506.81,
260,65.38650,-6.88,65.39610,-42.50,65.40240,25.00,0.19500,35.63,4.59,
261,65.58360,30.47,65.59110,-27.50,65.60640,28.28,0.59460,57.97,371.44,
262,66.18180,18.13,66.18570,-51.09,66.19290,20.94,0.08550,69.22,339.05,
263,66.26160,17.97,66.27120,-25.31,66.27900,31.72,0.00000,43.28,219.33,
264,66.67950,35.89,66.27120,-25.31,66.70290,30.62,0.67770,61.20,605.80,
265,66.94200,35.42,66.94890,-24.06,66.95880,32.50,0.06000,59.48,478.41,
266,66.99870,15.83,67.00890,-26.56,67.02090,33.91,0.00000,42.40,95.58,
267,67.19070,21.72,67.00890,-26.56,67.20990,32.97,0.49650,48.28,206.11,
268,67.50090,35.21,67.50540,-16.09,67.51440,34.53,0.21660,51.30,293.31,
269,67.71570,36.46,67.72200,-39.38,67.73220,23.91,0.00000,75.83,586.72,
270,67.84980,27.71,67.72200,-39.38,67.86870,35.00,0.16470,67.08,223.33,
271,67.88100,32.34,67.88670,-18.59,67.89630,34.22,0.11640,50.94,227.77,
272,67.99680,40.63,68.00310,-32.03,68.01210,19.22,0.06600,72.66,585.94,
273,68.05950,37.76,68.06910,-11.41,68.07690,34.06,0.33840,49.17,259.66,
274,68.40330,30.68,68.40750,-55.00,68.41440,21.56,0.41760,85.68,459.08,
275,68.82030,31.56,68.82510,-23.75,68.83230,25.47,0.14610,55.31,295.36,
276,68.96190,32.76,68.97120,-21.88,68.98110,28.91,0.02340,54.64,436.47,
277,68.98950,38.85,68.99460,-22.97,69.01050,25.16,0.05100,61.82,546.34,
278,69.04080,41.67,69.04560,-28.59,69.05280,34.38,0.05970,70.26,350.08,
279,69.10110,32.45,69.10530,-12.66,69.12090,35.94,0.21870,45.10,241.86,
280,69.31770,32.60,69.32400,-23.91,69.33420,34.53,0.07020,56.51,411.53,
