ID,date,cell,rep,power,stimul,frame,time,mask,int,delta,rel
cell4_01_17_03,17_03,cell4_17_03,1,10,21,60,39.0,up,478.318,0.04839777576179477,0.06086630962903005
cell4_01_17_03,17_03,cell4_17_03,1,10,21,60,39.0,down,571.007,-0.06847626935681782,-0.02281816505225679
cell4_01_17_03,17_03,cell4_17_03,1,10,21,61,40.0,cell,596.68,-0.03187190361423896,596.68
cell4_01_17_03,17_03,cell4_17_03,1,10,21,61,40.0,up,476.27,0.04422135818194007,0.040120145233135104
cell4_01_17_03,17_03,cell4_17_03,1,10,21,61,40.0,down,584.855,-0.045885056601200375,-0.014473041921056369
cell4_01_17_03,17_03,cell4_17_03,1,10,21,62,41.0,cell,596.057,-0.032882736563304225,596.057
cell4_01_17_03,17_03,cell4_17_03,1,10,21,62,41.0,up,475.969,0.04376259317481382,0.040549243714048736
cell4_01_17_03,17_03,cell4_17_03,1,10,21,62,41.0,down,582.074,-0.05042189677114356,-0.0181340702297118
cell4_01_17_03,17_03,cell4_17_03,1,10,21,63,42.0,cell,596.871,-0.03156200137784808,596.871
cell4_01_17_03,17_03,cell4_17_03,1,10,21,63,42.0,up,487.927,0.06373906589531071,0.0652367357804329
cell4_01_17_03,17_03,cell4_17_03,1,10,21,63,42.0,down,581.514,-0.05133546401140529,-0.020416460490581663
cell4_01_17_03,17_03,cell4_17_03,1,10,21,64,43.0,cell,598.285,-0.029267751313677242,598.285
cell4_01_17_03,17_03,cell4_17_03,1,10,21,64,43.0,up,484.758,0.05828994542734651,0.055816957977433156
cell4_01_17_03,17_03,cell4_17_03,1,10,21,64,43.0,down,586.025,-0.04397635361708199,-0.015150629919498889
cell4_01_17_03,17_03,cell4_17_03,1,10,21,65,44.0,cell,594.463,-0.03546904109108956,594.463
cell4_01_17_03,17_03,cell4_17_03,1,10,21,65,44.0,up,478.751,0.048559792619557486,0.04943761819548358
cell4_01_17_03,17_03,cell4_17_03,1,10,21,65,44.0,down,582.293,-0.05006462672539823,-0.01513087490353545
cell4_01_17_03,17_03,cell4_17_03,1,10,21,66,45.0,cell,591.235,-0.04070655113857429,591.235
cell4_01_17_03,17_03,cell4_17_03,1,10,21,66,45.0,up,466.377,0.02789753651255423,0.027894995273855812
cell4_01_17_03,17_03,cell4_17_03,1,10,21,66,45.0,down,576.018,-0.06030147392654628,-0.02042497988302383
cell4_01_17_03,17_03,cell4_17_03,1,10,21,67,46.0,cell,592.654,-0.03840418845041418,592.654
cell4_01_17_03,17_03,cell4_17_03,1,10,21,67,46.0,up,464.737,0.02506352779193256,0.02182798558297194
cell4_01_17_03,17_03,cell4_17_03,1,10,21,67,46.0,down,577.13,-0.05848739040659786,-0.020883853351474937
cell4_01_17_03,17_03,cell4_17_03,1,10,21,68,47.0,cell,597.428,-0.030658255065441287,597.428
cell4_01_17_03,17_03,cell4_17_03,1,10,21,68,47.0,up,478.644,0.04813969214700349,0.04399593766265293
cell4_01_17_03,17_03,cell4_17_03,1,10,21,68,47.0,down,584.131,-0.04706616853325323,-0.01692542471914964
cell4_01_17_03,17_03,cell4_17_03,1,10,21,69,48.0,cell,592.843,-0.03809753126361912,592.843
cell4_01_17_03,17_03,cell4_17_03,1,10,21,69,48.0,up,477.979,0.047391973929016624,0.050608433400155986
cell4_01_17_03,17_03,cell4_17_03,1,10,21,69,48.0,down,578.903,-0.05559497126912602,-0.018189016352934337
cell4_01_17_03,17_03,cell4_17_03,1,10,21,70,49.0,cell,603.557,-0.020713800579371115,603.557
cell4_01_17_03,17_03,cell4_17_03,1,10,21,70,49.0,up,489.294,0.06529789232831365,0.05638776268890233
cell4_01_17_03,17_03,cell4_17_03,1,10,21,70,49.0,down,594.358,-0.03038214680797175,-0.009871403388926501
cell4_01_17_03,17_03,cell4_17_03,1,10,21,71,50.0,cell,593.743,-0.036637258945547,593.743
cell4_01_17_03,17_03,cell4_17_03,1,10,21,71,50.0,up,480.986,0.0523846175870705,0.05561534739528592
cell4_01_17_03,17_03,cell4_17_03,1,10,21,71,50.0,down,583.507,-0.04808414345811644,-0.011880772190799825
cell4_01_17_03,17_03,cell4_17_03,1,10,21,72,51.0,cell,594.768,-0.03497417102774284,594.768
cell4_01_17_03,17_03,cell4_17_03,1,10,21,72,51.0,up,478.083,0.04741344524251472,0.047435934709861856
cell4_01_17_03,17_03,cell4_17_03,1,10,21,72,51.0,down,582.162,-0.05027833620481657,-0.015857375704898983
cell4_01_17_03,17_03,cell4_17_03,1,10,21,73,52.0,cell,596.007,-0.03296386280319723,596.007
cell4_01_17_03,17_03,cell4_17_03,1,10,21,73,52.0,up,470.239,0.03415228344633536,0.02810873095501386
cell4_01_17_03,17_03,cell4_17_03,1,10,21,73,52.0,down,590.024,-0.03745250469956941,-0.004640193821478858
cell4_01_17_03,17_03,cell4_17_03,1,10,21,74,53.0,cell,593.26,-0.037420938422912386,593.26
cell4_01_17_03,17_03,cell4_17_03,1,10,21,74,53.0,up,470.253,0.03433401881131376,0.03289998240065703
cell4_01_17_03,17_03,cell4_17_03,1,10,21,74,53.0,down,581.325,-0.0516437929549936,-0.014774338081176617
