ID,power,ch,frame,time,mask,mask_region,mean,delta,rel
cell7_02_2_2022,3,fp,1,0.0,master,1,869.422,0.0016001695788063473,1
cell7_02_2_2022,3,fp,2,2.0,master,1,868.991,0.0011036446771032552,1
cell7_02_2_2022,3,fp,3,4.0,master,1,867.127,-0.0010437391205173798,1
cell7_02_2_2022,3,fp,4,6.0,master,1,866.79,-0.0014319732083919066,1
cell7_02_2_2022,3,fp,5,8.0,master,1,867.835,-0.00022810192700044708,1
cell7_02_2_2022,3,fp,6,10.0,master,1,866.77,-0.0014550138070788018,1
cell7_02_2_2022,3,fp,7,12.0,master,1,866.144,-0.0021761845459792543,1
cell7_02_2_2022,3,fp,8,14.0,master,1,867.592,-0.0005080452010465396,1
cell7_02_2_2022,3,fp,9,16.0,master,1,867.101,-0.0010736918988103175,1
cell7_02_2_2022,3,fp,10,18.0,master,1,866.451,-0.0018225113561350704,1
cell7_02_2_2022,3,fp,11,20.0,master,1,863.377,-0.005363851374314182,1
cell7_02_2_2022,3,fp,12,22.0,master,1,864.174,-0.004445683516640539,1
cell7_02_2_2022,3,fp,13,24.0,master,1,864.631,-0.00391920583664451,1
cell7_02_2_2022,3,fp,14,26.0,master,1,862.831,-0.005992859718466923,1
cell7_02_2_2022,3,fp,15,28.0,master,1,862.77,-0.006063133544462058,1
cell7_02_2_2022,3,fp,16,30.0,master,1,859.68,-0.00962290604159066,1
cell7_02_2_2022,3,fp,17,32.0,master,1,858.814,-0.010620563964734119,1
cell7_02_2_2022,3,fp,18,34.0,master,1,857.803,-0.011785266228357698,1
cell7_02_2_2022,3,fp,19,36.0,master,1,858.696,-0.010756503496986853,1
cell7_02_2_2022,3,fp,20,38.0,master,1,855.276,-0.01469644587244962,1
cell7_02_2_2022,3,fp,21,40.0,master,1,855.709,-0.014197616910877892,1
cell7_02_2_2022,3,fp,22,42.0,master,1,853.351,-0.01691410349606526,1
cell7_02_2_2022,3,fp,23,44.0,master,1,855.661,-0.014252914347726494,1
cell7_02_2_2022,3,fp,24,46.0,master,1,853.856,-0.01633232837922063,1
cell7_02_2_2022,3,fp,25,48.0,master,1,853.811,-0.016384169726266145,1
cell7_02_2_2022,3,fp,26,50.0,master,1,853.141,-0.017156029782277923,1
cell7_02_2_2022,3,fp,27,52.0,master,1,853.177,-0.017114556704641407,1
cell7_02_2_2022,3,fp,28,54.0,master,1,853.33,-0.016938296124686475,1
cell7_02_2_2022,3,fp,29,56.0,master,1,853.551,-0.016683697509196044,1
cell7_02_2_2022,3,fp,30,58.0,master,1,852.724,-0.017636426264900033,1
cell7_02_2_2022,3,fp,1,0.0,down,1,110.878,-0.003863154490243477,0.6822957508804757
